PID,qty,Amount,CID,SalesDate
1,4,13,101,2021-02-13T01:59:43.296Z
2,4,40,102,2021-02-13T01:59:43.296Z
3,4,17,103,2021-02-13T01:59:43.296Z
4,2,29,104,2021-02-13T01:59:43.296Z
5,5,13,105,2021-01-19T01:39:00.346Z
6,2,10,106,2021-01-19T01:39:00.346Z
7,3,19,107,2021-01-19T01:39:00.346Z
8,3,57,108,2021-01-19T01:39:00.346Z
9,3,36,109,2021-01-19T01:39:00.346Z
10,1,13,110,2021-01-27T02:18:17.165Z
11,5,32,111,2021-01-27T02:18:17.165Z
12,1,23,112,2021-01-27T02:18:17.165Z
13,1,19,113,2021-01-27T02:18:17.165Z
14,3,40,114,2021-01-27T02:18:17.165Z
15,4,36,115,2021-01-27T02:18:17.165Z
16,4,17,116,2021-01-27T02:18:17.165Z
17,2,13,117,2021-03-03T00:32:56.054Z
18,5,10,118,2021-03-03T00:32:56.054Z
19,3,54,119,2021-03-03T00:32:56.054Z
20,4,36,120,2021-03-03T00:32:56.054Z
21,2,29,121,2021-03-03T00:32:56.054Z
22,5,13,122,2021-01-23T14:18:54.058Z
23,4,10,123,2021-01-23T14:18:54.058Z
24,5,19,124,2021-01-23T14:18:54.058Z
25,2,36,125,2021-01-23T14:18:54.058Z
26,2,17,126,2021-01-23T14:18:54.058Z
27,4,32,127,2021-01-29T07:22:13.267Z
28,2,23,128,2021-01-29T07:22:13.267Z
29,4,10,129,2021-01-29T07:22:13.267Z
30,1,57,130,2021-01-29T07:22:13.267Z
31,1,36,131,2021-01-29T07:22:13.267Z
32,3,19,132,2021-03-28T20:01:43.133Z
33,3,54,133,2021-03-28T20:01:43.133Z
34,4,57,134,2021-03-28T20:01:43.133Z
35,2,36,135,2021-03-28T20:01:43.133Z
36,3,13,136,2021-01-20T14:21:00.979Z
37,3,10,137,2021-01-20T14:21:00.979Z
38,3,23,138,2021-01-20T14:21:00.979Z
39,3,54,139,2021-01-20T14:21:00.979Z
40,5,10,140,2021-03-28T22:24:25.805Z
41,4,23,141,2021-03-28T22:24:25.805Z
42,5,40,142,2021-03-28T22:24:25.805Z
43,4,57,143,2021-03-28T22:24:25.805Z
44,2,36,144,2021-03-28T22:24:25.805Z
45,5,23,145,2021-02-21T21:45:33.350Z
46,1,19,146,2021-02-21T21:45:33.350Z
47,5,40,147,2021-02-21T21:45:33.350Z
48,3,17,148,2021-02-21T21:45:33.350Z
49,5,13,149,2021-02-26T06:49:17.386Z
50,2,32,150,2021-02-26T06:49:17.386Z
51,1,10,151,2021-02-26T06:49:17.386Z
52,2,23,152,2021-02-26T06:49:17.386Z
53,5,40,153,2021-02-26T06:49:17.386Z
54,1,10,154,2021-02-26T06:49:17.386Z
55,3,57,155,2021-02-26T06:49:17.386Z
